Asset,Blockchain,Contract address,Token ID,Description,Ressources,V/F,PIC,,% V,Total
Pieland,Ethereum,0xd3cD44f07744da3A6e60a4b5fdA1370400Ad515b,7664,https://opensea.io/assets/ethereum/0xd3cd44f07744da3a6e60a4b5fda1370400ad515b/7664,https://etherscan.io/address/0xd3cd44f07744da3a6e60a4b5fda1370400ad515b,V,PIC74,,,
The Sanctuary,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,70883503234643379025467866937584169186633712880680534476648098261448339226625,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/70883503234643379025467866937584169186633712880680534476648098261448339226625,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC75,,,
The Sanctuary,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,70883503234643379025467866937584169186633712880680534476648098263647362482177,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/70883503234643379025467866937584169186633712880680534476648098263647362482177,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC76,,,
Shredderz,Polygon,0xAa3571337A0EC16C926bDe57CA4B871ADc5ee886,351,https://opensea.io/assets/matic/0xaa3571337a0ec16c926bde57ca4b871adc5ee886/351,https://polygonscan.com/address/0xaa3571337a0ec16c926bde57ca4b871adc5ee886,F,PIC77,,,
Shredderz,Polygon,0xAa3571337A0EC16C926bDe57CA4B871ADc5ee886,312,https://opensea.io/assets/matic/0xaa3571337a0ec16c926bde57ca4b871adc5ee886/312,https://polygonscan.com/address/0xaa3571337a0ec16c926bde57ca4b871adc5ee886,F,PIC78,,,
Bear Market A**Holes,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,69148936491253708497156314951101642445679739563785770007668403318816801554433,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/69148936491253708497156314951101642445679739563785770007668403318816801554433,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC79,,,
Bear Market A**Holes,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,69148936491253708497156314951101642445679739563785770007668403312219731787777,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/69148936491253708497156314951101642445679739563785770007668403312219731787777,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC80,,,
Seedworld Vanguards,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,20669106043232436742481438964644892640714890699588941151472407882180555964417,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/20669106043232436742481438964644892640714890699588941151472407882180555964417,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC81,,,
Seedworld Vanguards,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,20669106043232436742481438964644892640714890699588941151472407885479090847745,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/20669106043232436742481438964644892640714890699588941151472407885479090847745,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,F,PIC82,,,
"Cuba""Cuba"" A place that stole my heart",Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,56685760477045004793972724229340420129790063059136279868280112669093733072897,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/56685760477045004793972724229340420129790063059136279868280112669093733072897,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,V,PIC83,,,
"Cuba""Cuba"" A place that stole my heart",Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,56685760477045004793972724229340420129790063059136279868280112673491779584001,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/56685760477045004793972724229340420129790063059136279868280112673491779584001,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e,V,PIC84,,,
