Contract adress	Token ID	V/F
0x6339e5E072086621540D0362C4e3Cea0d643E114	4027	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	107098512490033263933007318970702772402963075423247013599176449340158150443009	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	23454874496326082751230642210503912529347837994872914812256794971563861475329	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	29945831813588841417940975249761515740508103811356341083454748737891182051329	F
0x1827327EC27727602DF396286327af3BAa7C3289	458	V
0xd754937672300Ae6708a51229112dE4017810934	62	V
0xBa5e05cb26b78eDa3A2f8e3b3814726305dcAc83	54	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	16268213103183017764047712345124337435168191047030374832646157400380574531585	F
0x1fD855337dffbFF1Baf1E43e9C1A2e71f0BBfc1A	0	F
0xdA858C5183e9024C0D5301ee85AE1e41dbe0F880	1832	F
0xD17B5B8eAEd944f4f1cCCD5c5e0961DF0F37Ff26	10	F
0x48c75FbF0452fA8FF2928Ddf46B0fE7629cCa2FF	6	V
0x2478490ED24dc0Fec999be7FD2eB714035D83823	8645	V
0x63B6f4FB67DE2293fE1393A4111A07a5d614b6D6	5	F
0xF214E792F8A5C199eE69288B6832b14B325D94eD	7234	V
0x2953399124F0cBB46d2CbACD8A89cF0599974963	99478027352093246616490987577428832875807355370398666702103720607667873382401	F
0x863A82228DAE5d92bE2156Bc4e256d604bCdF6BB	888	V
0xAB4E3e5b511b2DB7bD5db8789EAcBece9aaeC5C8	1	F
0x2953399124F0cBB46d2CbACD8A89cF0599974963	25753552711528398690366267910398674149957442417373324360119101312953080610817	F
0xE5fD835470D3162Bcd94F68d5394Fb71bF1C5287	10	F
0x99A14fa2A0E0Bd22Dd224Dd746cfC4ed56AD66b4	611	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	9281635311272296901545662685361522864824229795097207087014519957736011071489	F
0xEeca64ea9fCf99A22806Cd99b3d29cf6e8D54925	714	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	16577318207565213617753329316780303436238274682435433616718216205710747762689	F
0x884Ba86FAA29745b6C40B7098567A393E91335CF	764	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	96510653557806544970415342426700664522877474524009704882066609514854653886465	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	25824570036794798370949278917275716860018398422689878165305225583162812268545	F
0x2953399124F0cBB46d2CbACD8A89cF0599974963	21828670064999081948239625585731803011907636856889216244003716911256737677341	F
0x4bb5b2461e9Ef782152c3a96698b2a4cF55B6162	14	V
0x2953399124F0cBB46d2CbACD8A89cF0599974963	87714897162868436397076359957432153232038372862772084388093312619222619127809	F
0x187778E70489bbD9c81de1F87FD6a9d2088CF1EB	4574	V
0xAce8187B113a38F83Bd9C896C6878B175c234dCc	8161	V
0xB852c6b5892256C264Cc2C888eA462189154D8d7	6267	V
0x59325733eb952a92e069C87F0A6168b29E80627f	4225	V
0x2953399124F0cBB46d2CbACD8A89cF0599974963	34897815206425077025913739975785761385374836417536167341402997479893234714272	F
0x2953399124F0cBB46d2CbACD8A89cF0599974963	33618502528251534373906188507641300831265073111405821262897535799800941773800	F
0x27D8A24a7445EC9671c913b33f11533DFa4Adef5	1	F
0xF419CdbaCdE81a94378c8168059a7526d7779F98	6739	V
0x2953399124F0cBB46d2CbACD8A89cF0599974963	20959326796367989588500941246054373493678191278498445557599621866022447874049	F
0xeaFFDB4b0f5E148946a808dF72A289B12ee3f790	557	V
0x21Baf34dbDf520c47a2F45228c4c3d7Fa7508777	3164	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	93095691265798838615643849468469492968973389813895359500792721438645547958273	F
0x2953399124F0cBB46d2CbACD8A89cF0599974963	9160455391106544959689213738047367510330587801876066024467029840243663568897	F
0xF305BD2C62398f452AD9b542730eae39A54AF358	4151	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	89715982425576032657474389368030723138854353714517841595121652914238974329828	F
0xABec9e63326E0c8D59daCAC0d01463D73e3ED7C5	4	F
0xFa07E6Ebf326e493F9b97a9dFb4829c548b23FCd	1	F
0x036721e5A769Cc48B3189EFbb9ccE4471E8A48B1	13502	V
0x26aC5839712163d0dff4e10b7614AD633e578eB9	453	F
0xB993c5Ef544A6C8eBe8Fd6DBc4803a4Bf7B3917d	1	F
0x8634666bA15AdA4bbC83B9DbF285F73D9e46e4C2	23288	V
0x2953399124F0cBB46d2CbACD8A89cF0599974963	22415029338964513601968771408100485996210213424157708272247837240125909106689	F
0x69395f0B566CEA59AC8083e7fe95aE69EE275238	1327	V
0x650bBabD21Fce6f237C89e07A099D5F980A99A4f	27	F
